"Freq [GHz]","dB(S(Port2,Port1)) []","dB(S(Port2,Port1))_1 []"
3,-5.6866804067658,-7.28516067068622
3.005,-5.64998895809266,-7.25009823078951
3.01,-5.60646269594169,-7.20771790545882
3.015,-5.55952243788893,-7.16042547471098
3.02,-5.51060686110187,-7.11264336600482
3.025,-5.46381526162142,-7.06616347787158
3.03,-5.42623528466074,-7.0295572303593
3.035,-5.3983894431226,-7.00262520734581
3.04,-5.38422634461591,-6.98830607313132
3.045,-5.38137849857516,-6.98356563374888
3.05,-5.3899404373132,-6.99304064821487
3.055,-5.40653252087803,-7.00829925665878
3.06,-5.42929926117432,-7.03151013354516
3.065,-5.45791430579889,-7.0604740981358
3.07,-5.48143973754802,-7.08383365879066
3.075,-5.50124893667608,-7.10436814056675
3.08,-5.51642554956117,-7.11882886623203
3.085,-5.51884333462203,-7.1212615160356
3.09,-5.51555737165703,-7.12053372970022
3.095,-5.50071564370801,-7.1059839616367
3.1,-5.47975318482078,-7.08561207440559
3.105,-5.45460782080006,-7.05969585404423
3.11,-5.42557077627308,-7.03268040798557
3.115,-5.39848378145737,-7.00713268786093
3.12,-5.3785985014975,-6.98656222326092
3.125,-5.36401516586796,-6.97308406487642
3.13,-5.36165430399149,-6.97042640550707
3.135,-5.37118626785776,-6.98072315860554
3.14,-5.39217700861325,-7.00203703970405
3.145,-5.42201908166431,-7.03187214227351
3.15,-5.46245204956849,-7.07120304706747
3.155,-5.5041292532881,-7.11243061061596
3.16,-5.54661672247253,-7.15528166973392
3.165,-5.58052488076766,-7.19124103264668
3.17,-5.60690440056244,-7.21917661446011
3.175,-5.61988419198803,-7.2327020155085
3.18,-5.61492392580344,-7.23056860422288
3.185,-5.59244343659787,-7.21125594791285
3.19,-5.55641455165448,-7.17570544889563
3.195,-5.50395842931304,-7.12663823938003
3.2,-5.43996321438656,-7.06263436921615
3.205,-5.37148163825779,-6.99716360046547
3.21,-5.30163215616039,-6.92837769595815
3.215,-5.2365014277693,-6.86401103047034
3.22,-5.18149268261609,-6.81114347222762
3.225,-5.14264839802381,-6.77377540503205
3.23,-5.1232744883399,-6.75490401688616
3.235,-5.12812777242329,-6.7603262381374
3.24,-5.15401089654073,-6.78577600288297
3.245,-5.19899883338124,-6.83290842661949
3.25,-5.26612734088943,-6.89770367201175
3.255,-5.34345178437473,-6.9765425511197
3.26,-5.42842569828414,-7.0614986637939
3.265,-5.51028995901221,-7.14552183073981
3.27,-5.58344035425734,-7.21914286314599
3.275,-5.64301356610584,-7.28062562435987
3.28,-5.67903173572805,-7.3197046042914
3.285,-5.69112793916648,-7.33536561985136
3.29,-5.67679444752035,-7.32483437186275
3.295,-5.63744263459961,-7.28963341209948
3.3,-5.57602042847059,-7.23245330045955
3.305,-5.49580088898864,-7.15570910656662
3.31,-5.40478121360771,-7.06890882648225
3.315,-5.31035111024652,-6.976135905636
3.32,-5.21593430291683,-6.88624251151549
3.325,-5.13392622759435,-6.80620701522846
3.33,-5.06852458011095,-6.74315457631826
3.335,-5.02519172094845,-6.69951789901812
3.34,-5.00865867405241,-6.68480884440839
3.345,-5.01724869226535,-6.69374343663081
3.35,-5.05510021998815,-6.73250437171871
3.355,-5.11468897651371,-6.79231991140643
3.36,-5.19398652881792,-6.87282722985158
3.365,-5.2882940401033,-6.96745011158095
3.37,-5.38502758450676,-7.06473075349766
3.375,-5.47732703669846,-7.15842867063946
3.38,-5.55713652393026,-7.24261884065939
3.385,-5.61829214186191,-7.30658065160263
3.39,-5.6533853252102,-7.34807138459221
3.395,-5.66202579131572,-7.36179165762433
3.4,-5.64324467267403,-7.34837370526501
3.405,-5.59777915071867,-7.30773952998908
3.41,-5.5274862460743,-7.24368029629411
3.415,-5.44142451139926,-7.16477637538549
3.42,-5.34514194587993,-7.07290636160544
3.425,-5.24371719756598,-6.97629354802824
3.43,-5.14687789229517,-6.88437551030165
3.435,-5.06276513012521,-6.80255867339683
3.44,-4.99479613545086,-6.73824707888245
3.445,-4.9505038579905,-6.69546284838683
3.45,-4.93042377119837,-6.67804096449044
3.455,-4.94023244085065,-6.68722782257145
3.46,-4.97568865895499,-6.72429189879614
3.465,-5.03511753952086,-6.78427108170714
3.47,-5.11456841565061,-6.86494930670602
3.475,-5.2031801142995,-6.95572461395356
3.48,-5.29503997798107,-7.0494815377806
3.485,-5.38082072873374,-7.14044677024351
3.49,-5.45510153623712,-7.22168540056363
3.495,-5.50907465512499,-7.27820008400312
3.5,-5.53716347119791,-7.31438082673882
3.505,-5.5401871481059,-7.32601638502212
3.51,-5.51794653512385,-7.30883303421196
3.515,-5.47110235463839,-7.26860246031648
3.52,-5.40198065992865,-7.20837225451005
3.525,-5.31848100997943,-7.13207974419768
3.53,-5.22900955310127,-7.05030955630517
3.535,-5.14026214104777,-6.96704202819217
3.54,-5.05868754804944,-6.88819622634122
3.545,-4.99126583529442,-6.8235918468708
3.55,-4.94031717785306,-6.77832826737944
3.555,-4.91537526382914,-6.75573558174273
3.56,-4.91824328639216,-6.75910821499133
3.565,-4.94431163343224,-6.78896059106214
3.57,-4.99671495793722,-6.84212808618126
3.575,-5.06450428308875,-6.91212012026549
3.58,-5.144906615761,-6.99686566881943
3.585,-5.22744115727726,-7.08485996700067
3.59,-5.30614822383405,-7.17007936568187
3.595,-5.37098017402009,-7.24131783208235
