Freq [GHz],"cang_deg(S(Port1,Port2)) [deg]","cang_deg(S(Port1,Port2))_1 [deg]",
3,42.67233478,79.37600791,36.70367313
3.005,42.57359324,79.33518519,36.76159195
3.01,42.66379868,79.4722724,36.80847372
3.015,42.9102368,79.76193755,36.85170074
3.02,43.2308827,80.13130691,36.90042421
3.025,43.55934147,80.50730227,36.9479608
3.03,43.82406005,80.82453604,37.00047599
3.035,43.95894553,81.01410378,37.05515825
3.04,43.91696958,81.0305828,37.11361322
3.045,43.64390552,80.81436047,37.17045496
3.05,43.12312443,80.36395956,37.24083513
3.055,42.36608118,79.68571123,37.31963005
3.06,41.37450971,78.78411994,37.40961023
3.065,40.21112841,77.70554009,37.49441169
3.07,38.91396177,76.48352076,37.56955899
3.075,37.53426067,75.20600488,37.67174422
3.08,36.17212962,73.93014722,37.75801761
3.085,34.87525357,72.71210125,37.83684767
3.09,33.72137705,71.63832799,37.91695094
3.095,32.76010684,70.74615025,37.98604341
3.1,32.03013125,70.07943433,38.04930308
3.105,31.54219263,69.64484507,38.10265244
3.11,31.2727395,69.42741049,38.15467099
3.115,31.20370831,69.39960373,38.19589542
3.12,31.27008984,69.51038877,38.24029892
3.125,31.42601534,69.70736632,38.28135097
3.13,31.60065409,69.92914183,38.32848774
3.135,31.7272707,70.10384215,38.37657145
3.14,31.74621423,70.17378052,38.42756629
3.145,31.62647544,70.10859405,38.48211861
3.15,31.32172148,69.86454112,38.54281965
3.155,30.82789472,69.42402137,38.59612665
3.16,30.1442199,68.81362988,38.66940998
3.165,29.2888791,68.02879148,38.73991237
3.17,28.30908094,67.12616154,38.8170806
3.175,27.23717309,66.13396997,38.89679688
3.18,26.13043253,65.10424147,38.97380895
3.185,25.04747898,64.09302647,39.04554749
3.19,24.04242096,63.16224242,39.11982146
3.195,23.15049622,62.33542303,39.18492681
3.2,22.41185702,61.66407094,39.25221391
3.205,21.84211842,61.14317515,39.30105674
3.21,21.42552355,60.78517886,39.35965531
3.215,21.15118892,60.5508865,39.39969758
3.22,20.98013839,60.42469251,39.44455412
3.225,20.87019302,60.35511579,39.48492276
3.23,20.77670231,60.3073086,39.53060629
3.235,20.63762241,60.22611618,39.58849377
3.24,20.43071618,60.06208605,39.63136987
3.245,20.1080115,59.80311977,39.69510827
3.25,19.67070578,59.41943486,39.74872908
3.255,19.11038919,58.92820793,39.81781875
3.26,18.429455,58.30497852,39.87552353
3.265,17.64917217,57.5989893,39.94981712
3.27,16.81293218,56.82482919,40.01189701
3.275,15.95637462,56.03514863,40.078774
3.28,15.11268213,55.24865612,40.13597399
3.285,14.32531085,54.53385336,40.20854251
3.29,13.63147153,53.89427003,40.2627985
3.295,13.05434607,53.36777538,40.31342931
3.3,12.59148746,52.96554165,40.37405419
3.305,12.24974437,52.6677328,40.41798843
3.31,12.02227127,52.47808625,40.45581498
3.315,11.84657331,52.35016676,40.50359345
3.32,11.70808119,52.25831833,40.55023714
3.325,11.55318815,52.14390054,40.59071238
3.33,11.33696168,51.98647079,40.64950911
3.335,11.03082629,51.73432852,40.70350223
3.34,10.60902915,51.36882354,40.7597944
3.345,10.03852509,50.86816597,40.82964088
3.35,9.346445087,50.23816781,40.89172272
3.355,8.52293758,49.48281208,40.9598745
3.36,7.596755781,48.6249593,41.02820352
3.365,6.609057261,47.70279536,41.0937381
3.37,5.599912572,46.76866878,41.16875621
3.375,4.624558716,45.85472839,41.23016967
3.38,3.7184914,45.00905351,41.29056211
3.385,2.934785043,44.28129294,41.3465079
3.39,2.300902048,43.69598776,41.39508571
3.395,1.827878102,43.26561135,41.43773325
3.4,1.511160859,42.99389129,41.48273043
3.405,1.341929805,42.86554161,41.52361181
3.41,1.276093986,42.84337374,41.56727976
3.415,1.281020091,42.88708111,41.60606102
3.42,1.294381197,42.9368142,41.642433
3.425,1.257369334,42.95631842,41.69894909
3.43,1.137979485,42.88466216,41.74668267
3.435,0.889617339,42.69070554,41.8010882
3.44,0.481313113,42.35114449,41.86983138
3.445,-0.099135304,41.83006471,41.92920001
3.45,-0.843101204,41.15258885,41.99569006
3.455,-1.761888996,40.3099475,42.07183649
3.46,-2.789608053,39.35493019,42.14453825
3.465,-3.906737542,38.31489391,42.22163145
3.47,-5.047631926,37.23582393,42.28345586
3.475,-6.160200337,36.19518741,42.35538775
3.48,-7.187151432,35.22543535,42.41258678
3.485,-8.071968971,34.39815348,42.47012245
3.49,-8.788177661,33.726276,42.51445366
3.495,-9.303946305,33.24985687,42.55380318
3.5,-9.628679866,32.97532581,42.60400568
3.505,-9.773645451,32.86696708,42.64061253
3.51,-9.774233322,32.90184473,42.67607806
3.515,-9.698918411,33.02470043,42.72361884
3.52,-9.586751813,33.17684514,42.76359695
3.525,-9.504001944,33.30878441,42.81278635
3.53,-9.502052043,33.36419387,42.86624592
3.535,-9.638612631,33.28523182,42.92384445
3.54,-9.931520112,33.05330027,42.98482039
3.545,-10.41772589,32.63457485,43.05230074
3.55,-11.09018864,32.03845598,43.12864462
3.555,-11.93514214,31.2672172,43.20235935
3.56,-12.93059955,30.33777877,43.26837833
3.565,-14.04270286,29.29498211,43.33768497
3.57,-15.21443263,28.1990405,43.41347313
3.575,-16.37842091,27.10850571,43.48692662
3.58,-17.4863593,26.0601593,43.5465186
3.585,-18.46651453,25.13342359,43.59993812
3.59,-19.29224917,24.36869,43.66093917
3.595,-19.90912533,23.80781244,43.71693778
